X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
0.103774,51.570625,0,0,203,17,2018/01/29 09:58:00+00,,,,,,,,,,,,,,,,,,,,,
0.103849,51.570612,0,0,204,17,2018/01/29 09:58:01+00,,,,,,,,,,,,,,,,,,,,,
0.104079,51.570588,0,0,205,17,2018/01/29 09:58:04+00,,,,,,,,,,,,,,,,,,,,,
0.104245,51.570574,0,0,206,17,2018/01/29 09:58:06+00,,,,,,,,,,,,,,,,,,,,,
0.104486,51.570549,0,0,207,17,2018/01/29 09:58:09+00,,,,,,,,,,,,,,,,,,,,,
0.104718,51.570528,0,0,208,17,2018/01/29 09:58:12+00,,,,,,,,,,,,,,,,,,,,,
0.10479,51.570523,0,0,209,17,2018/01/29 09:58:13+00,,,,,,,,,,,,,,,,,,,,,
0.104866,51.570512,0,0,210,17,2018/01/29 09:58:14+00,,,,,,,,,,,,,,,,,,,,,
0.105103,51.57049,0,0,211,17,2018/01/29 09:58:17+00,,,,,,,,,,,,,,,,,,,,,
0.105408,51.570472,0,0,212,17,2018/01/29 09:58:21+00,,,,,,,,,,,,,,,,,,,,,
0.105695,51.570443,0,0,213,17.1,2018/01/29 09:58:25+00,,,,,,,,,,,,,,,,,,,,,
0.105768,51.570438,0,0,214,17.1,2018/01/29 09:58:26+00,,,,,,,,,,,,,,,,,,,,,
0.106085,51.570426,0,0,215,17,2018/01/29 09:58:31+00,,,,,,,,,,,,,,,,,,,,,
0.10613,51.570425,0,0,216,17,2018/01/29 09:58:32+00,,,,,,,,,,,,,,,,,,,,,
0.106221,51.570444,0,0,217,17,2018/01/29 09:58:35+00,,,,,,,,,,,,,,,,,,,,,
0.106263,51.570545,0,0,218,17,2018/01/29 09:58:39+00,,,,,,,,,,,,,,,,,,,,,
0.106384,51.570778,0,0,219,17,2018/01/29 09:58:45+00,,,,,,,,,,,,,,,,,,,,,
0.106427,51.570818,0,0,220,17.1,2018/01/29 09:58:46+00,,,,,,,,,,,,,,,,,,,,,
0.106548,51.570878,0,0,221,17.4,2018/01/29 09:58:48+00,,,,,,,,,,,,,,,,,,,,,
0.106696,51.570903,0,0,222,17.8,2018/01/29 09:58:50+00,,,,,,,,,,,,,,,,,,,,,
0.106841,51.570919,0,0,223,18.1,2018/01/29 09:58:52+00,,,,,,,,,,,,,,,,,,,,,
0.107198,51.570957,0,0,224,18.6,2018/01/29 09:58:57+00,,,,,,,,,,,,,,,,,,,,,
0.107409,51.570974,0,0,225,18.9,2018/01/29 09:59:00+00,,,,,,,,,,,,,,,,,,,,,
0.107756,51.571027,0,0,226,19.3,2018/01/29 09:59:05+00,,,,,,,,,,,,,,,,,,,,,
0.107898,51.571047,0,0,227,19.5,2018/01/29 09:59:07+00,,,,,,,,,,,,,,,,,,,,,
0.108117,51.571073,0,0,228,19.6,2018/01/29 09:59:10+00,,,,,,,,,,,,,,,,,,,,,
0.108425,51.571111,0,0,229,19.9,2018/01/29 09:59:14+00,,,,,,,,,,,,,,,,,,,,,
0.108497,51.571119,0,0,230,19.9,2018/01/29 09:59:15+00,,,,,,,,,,,,,,,,,,,,,
0.108694,51.571117,0,0,231,20,2018/01/29 09:59:18+00,,,,,,,,,,,,,,,,,,,,,
0.109166,51.57105,0,0,232,20,2018/01/29 09:59:25+00,,,,,,,,,,,,,,,,,,,,,
0.109719,51.570979,0,0,233,20,2018/01/29 09:59:33+00,,,,,,,,,,,,,,,,,,,,,
0.110209,51.570901,0,0,234,20,2018/01/29 09:59:40+00,,,,,,,,,,,,,,,,,,,,,
0.110612,51.570852,0,0,235,20,2018/01/29 09:59:46+00,,,,,,,,,,,,,,,,,,,,,
0.110739,51.570832,0,0,236,19.8,2018/01/29 09:59:48+00,,,,,,,,,,,,,,,,,,,,,
0.110866,51.570812,0,0,237,19.6,2018/01/29 09:59:50+00,,,,,,,,,,,,,,,,,,,,,
0.110996,51.570791,0,0,238,19.3,2018/01/29 09:59:52+00,,,,,,,,,,,,,,,,,,,,,
0.111059,51.570784,0,0,239,19.2,2018/01/29 09:59:53+00,,,,,,,,,,,,,,,,,,,,,
